country,year,dev_level,region,equities,bonds,real_estate,commodities,cash,shock_event
USA,1985,developed,NorthAmerica,18.93,7.05,-7.43,2.1,3.65,
USA,1986,developed,NorthAmerica,11.52,10.24,0.03,-27.53,3.78,
USA,1987,developed,NorthAmerica,0.58,-4.12,3.02,21.01,3.1,Black Monday
USA,1988,developed,NorthAmerica,38.04,0.1,7.07,-15.35,3.32,
USA,1989,developed,NorthAmerica,8.31,-2.6,29.12,-4.71,2.97,
USA,1990,developed,NorthAmerica,18.25,13.34,14.08,-15.15,2.77,Gulf War / S&L crisis
USA,1991,developed,NorthAmerica,-17.66,8.85,-8.96,-9.11,2.71,Recession
USA,1992,developed,NorthAmerica,13.47,0.94,18.32,14.75,2.78,
USA,1993,developed,NorthAmerica,-4.99,9.53,0.51,30.39,3.4,
USA,1994,developed,NorthAmerica,14.49,6.31,-19.06,1.39,3.48,
USA,1995,developed,NorthAmerica,20.9,-4.41,4.09,-34.01,3.27,
USA,1996,developed,NorthAmerica,-12.55,6.72,15.57,-2.86,3.73,
USA,1997,developed,NorthAmerica,-1.27,5.08,-8.49,12.27,3.11,Asian Financial Crisis
USA,1998,developed,NorthAmerica,-20.75,4.22,-0.3,6.74,2.86,LTCM / Russia default
USA,1999,developed,NorthAmerica,29.07,6.16,6.89,5.61,3.04,
USA,2000,developed,NorthAmerica,13.36,7.13,11.16,-24.52,2.05,
USA,2001,developed,NorthAmerica,-0.52,6.36,6.97,2.03,2.21,Dot-com bust / 9-11
USA,2002,developed,NorthAmerica,-13.85,5.84,-8.74,8.16,2.02,Corporate scandals
USA,2003,developed,NorthAmerica,9.64,-1.91,2.22,16.12,2.2,
USA,2004,developed,NorthAmerica,-14.55,2.54,-6.55,-22.9,1.93,
USA,2005,developed,NorthAmerica,11.8,8.35,9.5,2.22,2.29,
USA,2006,developed,NorthAmerica,-5.35,3.11,-3.86,-9.99,1.95,
USA,2007,developed,NorthAmerica,10.17,18.97,-1.69,1.36,1.47,
USA,2008,developed,NorthAmerica,-16.23,4.01,1.6,-4.75,2.12,Global Financial Crisis
USA,2009,developed,NorthAmerica,-17.14,1.86,-9.88,-4.78,1.63,GFC trough
USA,2010,developed,NorthAmerica,10.05,4.21,3.58,-22.94,1.1,
USA,2011,developed,NorthAmerica,-4.39,9.17,16.18,-0.23,0.74,Euro debt crisis
USA,2012,developed,NorthAmerica,8.13,6.81,5.87,-5.64,1.17,
USA,2013,developed,NorthAmerica,19.6,-0.39,-2.06,11.02,0.98,
USA,2014,developed,NorthAmerica,16.01,3.18,-3.42,4.96,0.94,
USA,2015,developed,NorthAmerica,15.13,6.05,-8.57,21.65,1.64,China slowdown
USA,2016,developed,NorthAmerica,-5.64,0.41,9.08,13.23,1.97,
USA,2017,developed,NorthAmerica,20.26,-3.77,0.14,-28.32,1.54,
USA,2018,developed,NorthAmerica,29.68,14.38,11.04,-6.51,1.72,
USA,2019,developed,NorthAmerica,20.12,-5.3,6.61,25.14,1.36,
USA,2020,developed,NorthAmerica,-16.47,7.7,0.82,-8.18,1.22,COVID-19
USA,2021,developed,NorthAmerica,22.19,8.54,11.09,4.51,1.63,COVID recovery / stimulus
USA,2022,developed,NorthAmerica,-0.3,-11.53,7.47,22.72,2.35,Inflation / rate hike cycle
USA,2023,developed,NorthAmerica,6.06,-10.57,3.34,24.51,3.55,Rates plateau
USA,2024,developed,NorthAmerica,5.05,-4.34,-1.85,9.45,4.48,
Canada,1985,developed,NorthAmerica,15.61,-4.59,-7.75,8.47,3.97,
Canada,1986,developed,NorthAmerica,33.6,10.52,22.37,-9.92,4.03,
Canada,1987,developed,NorthAmerica,18.55,7.7,1.78,22.0,3.72,Black Monday
Canada,1988,developed,NorthAmerica,13.38,-3.2,11.85,-1.15,3.95,
Canada,1989,developed,NorthAmerica,14.87,4.67,6.73,14.86,3.54,
Canada,1990,developed,NorthAmerica,-12.28,7.68,-3.71,-17.25,3.52,Gulf War / S&L crisis
Canada,1991,developed,NorthAmerica,9.07,2.95,-14.32,-2.54,4.35,Recession
Canada,1992,developed,NorthAmerica,1.35,2.25,11.43,15.43,4.63,
Canada,1993,developed,NorthAmerica,-24.15,11.06,10.29,40.65,3.51,
Canada,1994,developed,NorthAmerica,-11.97,1.62,2.78,13.86,4.26,
Canada,1995,developed,NorthAmerica,7.36,0.23,8.79,0.29,3.87,
Canada,1996,developed,NorthAmerica,17.35,9.68,10.97,0.92,3.47,
Canada,1997,developed,NorthAmerica,0.83,-0.5,0.17,-6.95,3.77,Asian Financial Crisis
Canada,1998,developed,NorthAmerica,-6.62,-2.37,12.98,-11.77,3.71,LTCM / Russia default
Canada,1999,developed,NorthAmerica,21.49,8.6,12.98,7.6,3.31,
Canada,2000,developed,NorthAmerica,29.83,5.51,-5.29,-4.69,2.68,
Canada,2001,developed,NorthAmerica,-1.58,10.63,3.17,4.73,3.77,Dot-com bust / 9-11
Canada,2002,developed,NorthAmerica,3.76,3.51,11.18,-18.58,3.16,Corporate scandals
Canada,2003,developed,NorthAmerica,22.22,0.55,19.42,-19.09,2.77,
Canada,2004,developed,NorthAmerica,20.45,4.16,5.48,10.76,3.55,
Canada,2005,developed,NorthAmerica,1.72,-3.41,8.25,18.16,3.28,
Canada,2006,developed,NorthAmerica,8.39,-0.52,9.31,4.22,3.84,
Canada,2007,developed,NorthAmerica,22.43,-2.22,0.7,-19.33,4.36,
Canada,2008,developed,NorthAmerica,-4.98,5.98,-3.53,10.65,5.36,Global Financial Crisis
Canada,2009,developed,NorthAmerica,-20.55,-1.64,-16.91,-8.82,4.4,GFC trough
Canada,2010,developed,NorthAmerica,1.34,9.37,11.17,11.26,5.3,
Canada,2011,developed,NorthAmerica,-4.62,-3.84,7.01,-24.61,4.38,Euro debt crisis
Canada,2012,developed,NorthAmerica,9.28,3.21,-0.64,-14.35,4.32,
Canada,2013,developed,NorthAmerica,17.22,2.78,-4.58,-15.01,4.2,
Canada,2014,developed,NorthAmerica,10.38,5.98,-3.31,-30.09,3.94,
Canada,2015,developed,NorthAmerica,-4.28,7.7,-1.89,-11.9,3.4,China slowdown
Canada,2016,developed,NorthAmerica,36.48,7.65,7.25,8.57,2.21,
