year,dev_level,macro_var,asset_class,correlation,n_obs
1990,developed,gdp_growth,equities,0.2331,65
1990,developed,gdp_growth,bonds,-0.2443,65
1990,developed,gdp_growth,real_estate,0.1302,65
1990,developed,gdp_growth,commodities,0.203,65
1990,developed,gdp_growth,cash,0.2256,65
1990,developed,inflation,equities,-0.1194,65
1990,developed,inflation,bonds,-0.1142,65
1990,developed,inflation,real_estate,-0.1878,65
1990,developed,inflation,commodities,0.0547,65
1990,developed,inflation,cash,0.5459,65
1990,developed,policy_rate,equities,-0.1381,65
1990,developed,policy_rate,bonds,-0.2182,65
1990,developed,policy_rate,real_estate,-0.237,65
1990,developed,policy_rate,commodities,-0.0319,65
1990,developed,policy_rate,cash,0.9631,65
1990,developed,unemployment,equities,-0.1836,65
1990,developed,unemployment,bonds,0.1959,65
1990,developed,unemployment,real_estate,-0.0677,65
1990,developed,unemployment,commodities,-0.2613,65
1990,developed,unemployment,cash,-0.3393,65
1990,developed,current_account,equities,0.0502,65
1990,developed,current_account,bonds,-0.1407,65
1990,developed,current_account,real_estate,-0.1501,65
1990,developed,current_account,commodities,-0.0975,65
1990,developed,current_account,cash,0.1767,65
1990,developed,debt_to_gdp,equities,-0.3124,65
1990,developed,debt_to_gdp,bonds,-0.1528,65
1990,developed,debt_to_gdp,real_estate,-0.1358,65
1990,developed,debt_to_gdp,commodities,0.0256,65
1990,developed,debt_to_gdp,cash,0.0701,65
1990,developed,fx_change,equities,0.0169,65
1990,developed,fx_change,bonds,-0.0019,65
1990,developed,fx_change,real_estate,0.0093,65
1990,developed,fx_change,commodities,-0.0564,65
1990,developed,fx_change,cash,-0.0603,65
1990,developed,biz_confidence,equities,0.2002,65
1990,developed,biz_confidence,bonds,-0.2716,65
1990,developed,biz_confidence,real_estate,0.0438,65
1990,developed,biz_confidence,commodities,-0.0806,65
1990,developed,biz_confidence,cash,0.1506,65
1991,developed,gdp_growth,equities,0.2744,65
1991,developed,gdp_growth,bonds,-0.2022,65
1991,developed,gdp_growth,real_estate,0.2735,65
1991,developed,gdp_growth,commodities,0.1938,65
1991,developed,gdp_growth,cash,0.2275,65
1991,developed,inflation,equities,-0.1885,65
1991,developed,inflation,bonds,-0.0803,65
1991,developed,inflation,real_estate,-0.2348,65
1991,developed,inflation,commodities,0.0323,65
1991,developed,inflation,cash,0.4969,65
1991,developed,policy_rate,equities,-0.0673,65
1991,developed,policy_rate,bonds,-0.2807,65
1991,developed,policy_rate,real_estate,-0.2516,65
1991,developed,policy_rate,commodities,-0.0146,65
1991,developed,policy_rate,cash,0.9619,65
1991,developed,unemployment,equities,-0.1787,65
1991,developed,unemployment,bonds,0.1306,65
1991,developed,unemployment,real_estate,-0.2263,65
1991,developed,unemployment,commodities,-0.2407,65
1991,developed,unemployment,cash,-0.3032,65
1991,developed,current_account,equities,0.0561,65
1991,developed,current_account,bonds,-0.0585,65
1991,developed,current_account,real_estate,-0.1466,65
1991,developed,current_account,commodities,-0.1728,65
1991,developed,current_account,cash,0.2633,65
1991,developed,debt_to_gdp,equities,-0.314,65
1991,developed,debt_to_gdp,bonds,-0.1309,65
1991,developed,debt_to_gdp,real_estate,-0.2144,65
1991,developed,debt_to_gdp,commodities,-0.1481,65
1991,developed,debt_to_gdp,cash,0.0165,65
1991,developed,fx_change,equities,0.15,65
1991,developed,fx_change,bonds,-0.1339,65
1991,developed,fx_change,real_estate,0.1138,65
1991,developed,fx_change,commodities,0.0488,65
1991,developed,fx_change,cash,-0.0933,65
1991,developed,biz_confidence,equities,0.1664,65
1991,developed,biz_confidence,bonds,-0.2386,65
1991,developed,biz_confidence,real_estate,0.0894,65
1991,developed,biz_confidence,commodities,-0.0659,65
1991,developed,biz_confidence,cash,0.1952,65
1992,developed,gdp_growth,equities,0.2954,65
1992,developed,gdp_growth,bonds,-0.2511,65
1992,developed,gdp_growth,real_estate,0.2569,65
1992,developed,gdp_growth,commodities,0.1127,65
1992,developed,gdp_growth,cash,0.2055,65
1992,developed,inflation,equities,-0.0951,65
1992,developed,inflation,bonds,-0.1781,65
1992,developed,inflation,real_estate,-0.1269,65
1992,developed,inflation,commodities,0.1099,65
1992,developed,inflation,cash,0.4564,65
1992,developed,policy_rate,equities,0.0421,65
1992,developed,policy_rate,bonds,-0.3103,65
1992,developed,policy_rate,real_estate,-0.2402,65
1992,developed,policy_rate,commodities,-0.0274,65
