country,region,dev_level,year,gdp_growth,gdp_level,inflation,policy_rate,unemployment,current_account,debt_to_gdp,fx_change,biz_confidence,fin_stress_idx,shock_event
USA,NorthAmerica,developed,1985,2.683,102.68,1.668,4.127,4.129,-6.902,59.33,0.505,54.42,0.0,
USA,NorthAmerica,developed,1986,2.627,105.38,1.152,4.166,4.075,-2.868,63.54,1.339,52.68,0.0,
USA,NorthAmerica,developed,1987,2.317,107.82,0.794,4.095,3.817,-3.37,64.35,2.957,52.57,0.8,Black Monday
USA,NorthAmerica,developed,1988,2.105,110.09,0.854,3.893,4.13,-2.175,67.33,4.777,52.99,0.0,
USA,NorthAmerica,developed,1989,1.897,112.18,0.532,3.668,4.616,-3.228,67.82,-1.059,55.75,0.0,
USA,NorthAmerica,developed,1990,1.293,113.63,1.71,3.183,4.469,-2.767,70.58,1.98,52.06,0.6,Gulf War / S&L crisis
USA,NorthAmerica,developed,1991,0.502,114.2,2.132,3.189,5.064,-5.914,72.51,-0.83,48.09,0.5,Recession
USA,NorthAmerica,developed,1992,0.837,115.16,3.402,3.042,5.066,-6.366,74.25,0.055,53.43,0.0,
USA,NorthAmerica,developed,1993,1.679,117.09,3.856,3.29,3.929,-1.284,76.1,-2.958,49.96,0.0,
USA,NorthAmerica,developed,1994,1.333,118.65,3.983,3.7,4.679,-3.855,78.86,0.806,51.74,0.0,
USA,NorthAmerica,developed,1995,1.899,120.9,3.157,3.702,3.86,-5.392,82.14,-1.136,53.83,0.0,
USA,NorthAmerica,developed,1996,2.337,123.73,3.382,4.199,3.782,-3.847,84.31,-3.639,50.33,0.0,
USA,NorthAmerica,developed,1997,0.784,124.7,2.688,4.243,4.155,-3.756,89.87,-0.769,51.38,1.2,Asian Financial Crisis
USA,NorthAmerica,developed,1998,0.053,124.77,2.276,3.593,4.804,-1.319,89.47,0.936,48.82,1.0,LTCM / Russia default
USA,NorthAmerica,developed,1999,0.308,125.15,1.164,3.218,4.581,-2.535,92.28,3.604,49.9,0.0,
USA,NorthAmerica,developed,2000,0.242,125.46,1.575,3.045,5.558,-1.33,95.77,3.204,46.92,0.0,
USA,NorthAmerica,developed,2001,-1.077,124.1,0.878,2.4,4.85,-1.73,98.43,-2.455,43.0,0.9,Dot-com bust / 9-11
USA,NorthAmerica,developed,2002,-0.795,123.12,1.803,3.034,6.854,-2.171,99.65,-4.055,47.81,0.7,Corporate scandals
